Time_sec,InputSOC1,InputSOC2,InputSOC3,InputTemp1,InputTemp2,InputTemp3,Resistance,Voltage1,Voltage2,Voltage3,PackVoltage,PackCurrent,OutputSOC1,OutputSOC2,OutputSOC3,AvgSOC,OutputTemp1,OutputTemp2,OutputTemp3,AvgTemp,SOH,ActualCapacity
0,0.4,0.5,0.8,315,300,299,63,3.71835888939056,3.79845962720699,4.02224045600214,11.5390589725997,0.183159666231741,99.9992997828194,99.9995069776529,100.000397275839,99.9997346787704,315,300,299,304.666666666667,0,0
1,0.4,0.5,0.8,315,300,299,63,3.71835074899087,3.7984514861235,4.02223561436167,11.539037849476,0.183159330944064,100.000073541264,100.000319431055,100.00133040103,100.000574457783,315.00000300585,300.000002822056,299.000002873893,304.666669567266,0,5.08776367724518e-05
2,0.4,0.5,0.8,315,300,299,63,3.71834260860581,3.79844334505396,4.02223077272989,11.5390167263897,0.183158995656979,100.00067421168,100.001010960364,100.002214141519,100.001299771188,315.000006011694,300.000005643392,299.000005747774,304.66667246762,0,0.0001017551821337
3,0.4,0.5,0.8,315,300,299,63,3.71833446823567,3.79843520399934,4.02222593110698,11.538995603342,0.183158660370508,100.000984609635,100.001491002746,100.003011317408,100.001828976596,315.000009017533,300.000008464724,299.000008621642,304.666675367966,0,0.000152632634359733
4,0.4,0.5,0.8,315,300,299,63,3.71832632788043,3.79842706295963,4.02222108949292,11.538974480333,0.183158325084651,100.00089603206,100.001678834551,100.003688809041,100.002087891884,315.000012023366,300.000011286051,299.000011495499,304.666678268305,0,0.00020350999345072
5,0.4,0.5,0.8,315,300,299,63,3.71831818754011,3.79841892193484,4.02221624788772,11.5389533573627,0.183157989799407,100.00029903893,100.001493574992,100.004213388341,100.002002000754,315.000015029194,300.000014107375,299.000014369343,304.666681168637,0,0.000254387259406832
6,0.4,0.5,0.8,315,300,299,63,3.71831004721471,3.79841078092497,4.02221140629137,11.538932234431,0.183157654514779,99.9990831506301,100.000853308517,100.004551326643,100.001495928597,315.000018035016,300.000016928695,299.000017243174,304.666684068962,0,0.000305264432228239
7,0.4,0.5,0.8,315,300,299,63,3.71830190690421,3.79840263993001,4.02220656470389,11.5389111115381,0.183157319230764,99.997137750071,99.9996754408586,100.004668510711,100.000493900547,315.000021040833,300.000019750011,299.000020116994,304.666686969279,0,0.000356141511915113
8,0.4,0.5,0.8,315,300,299,63,3.71829376660863,3.79839449894996,4.02220172312526,11.5388899886839,0.183156983947363,99.9943532673295,99.9978773556909,100.00453068072,99.99892043458,315.000024046644,300.000022571323,299.000022990801,304.666689869589,0,0.000407018498467623
9,0.4,0.5,0.8,315,300,299,63,3.71828562632796,3.79838635798484,4.02219688155549,11.5388688658683,0.183156648664576,99.9906224345889,99.9953771689776,100.004103706939,99.9967011035019,315.00002705245,300.000025392631,299.000025864595,304.666692769892,0,0.00045789539188594
10,0.4,0.5,0.8,315,300,299,63,3.7182774860622,3.79837821703462,4.02219203999458,11.5388477430914,0.183156313382403,99.985841532356,99.9920945143133,100.003353878493,99.9937633083873,315.00003005825,300.000028213935,299.000028738378,304.666695670188,0,0.000508772192170236
11,0.4,0.5,0.8,315,300,299,63,3.71826934581135,3.79837007609933,4.02218719844253,11.5388266203532,0.183155978100844,99.9799115831615,99.9879513273397,100.002248192092,99.9900370341978,315.000033064044,300.000031035236,299.000031612148,304.666698570476,0,0.000559648899320679
12,0.4,0.5,0.8,315,300,299,63,3.71826120557542,3.79836193517894,4.02218235689933,11.5388054976537,0.1831556428199,99.9727394617919,99.9828726084681,100.000754633351,99.9854555678704,315.000036069833,300.000033856532,299.000034485906,304.666701470757,0,0.000610525513337442
13,0.4,0.5,0.8,315,300,299,63,3.7182530653544,3.79835379427348,4.02217751536499,11.5387843749929,0.183155307539569,99.9642388979325,99.9767871477034,99.9988424451557,99.9799561635972,315.000039075617,300.000036677824,299.000037359651,304.666704371031,0,0.000661402034220694
14,0.4,0.5,0.8,315,300,299,63,3.71824492514829,3.79834565338293,4.02217267383951,11.5387632523707,0.183154972259853,99.9543313522825,99.9696281979339,99.9964823786243,99.9734806429469,315.000042081395,300.000039499112,299.000040233384,304.666707271297,0,0.000712278461970607
15,0.4,0.5,0.8,315,300,299,63,3.71823678495709,3.79833751250729,4.02216783232289,11.5387421297873,0.18315463698075,99.9429467519747,99.9613340850626,99.9936469229018,99.9659759199797,315.000045087167,300.000042320397,299.000043107105,304.666710171556,0,0.00076315479658735
16,0.4,0.5,0.8,315,300,299,63,3.7182286447808,3.79832937164657,4.02216299081513,11.5387210072425,0.183154301702262,99.9300240758154,99.9518487452857,99.9903105107032,99.9573944439348,315.000048092934,300.000045141677,299.000045980814,304.666713071808,0,0.000814031038071094
17,0.4,0.5,0.8,315,300,299,63,3.71822050461943,3.79832123080077,4.02215814931622,11.5386998847364,0.183153966424388,99.9155117844529,99.9411221818226,99.9864496971607,99.9476945544787,315.000051098695,300.000047962954,299.00004885451,304.666715972053,0,0.000864907186422011
18,0.4,0.5,0.8,315,300,299,63,3.71821236447297,3.79831308996988,4.02215330782617,11.538678762269,0.183153631147127,99.8993680949946,99.9291108354833,99.9820433101763,99.9368407468847,315.000054104451,300.000050784226,299.000051728194,304.66671887229,0,0.000915783241640269
19,0.4,0.5,0.8,315,300,299,63,3.71820422434142,3.79830494915391,4.02214846634498,11.5386576398403,0.183153295870481,99.8815611036754,99.9157778655917,99.9770725711237,99.9248038467969,315.000057110201,300.000053605495,299.000054601866,304.66672177252,0,0.000966659203726041
20,0.4,0.5,0.8,315,300,299,63,3.71819608422478,3.79829680835285,4.02214362487265,11.5386365174503,0.183152960594449,99.8620687638234,99.9010933399081,99.9715211853833,99.9115610963716,315.000060115945,300.000056426759,299.000057475525,304.666724672743,0,0.0010175350726795
21,0.4,0.5,0.8,315,300,299,63,3.71818794412306,3.79828866756671,4.02213878340917,11.5386153950989,0.183152625319031,99.8408787294664,99.8850343342484,99.9653754027971,99.8970961555039,315.000063121685,300.00005924802,299.000060349172,304.666727572959,0,0.00106841084850081
22,0.4,0.5,0.8,315,300,299,63,3.71817980403625,3.79828052679548,4.02213394195455,11.5385942727863,0.183152290044227,99.8179880774078,99.8675849444183,99.9586240486982,99.8813990235081,315.000066127418,300.000062069277,299.000063222807,304.666730473167,0,0.00111928653119014
23,0.4,0.5,0.8,315,300,299,63,3.71817166396435,3.79827238603917,4.02212910050879,11.5385731505123,0.183151954770037,99.7934029224425,99.8487362148115,99.9512585266843,99.8644658879794,315.000069133146,300.000064890529,299.000066096429,304.666733373368,0,0.00117016212074767
24,0.4,0.5,0.8,315,300,299,63,3.71816352390736,3.79826424529777,4.02212425907189,11.538552028277,0.183151619496461,99.7671379415776,99.8284859895199,99.9432727947495,99.8462989086156,315.000072138869,300.000067711778,299.000068970039,304.666736273562,0,0.00122103761717356
25,0.4,0.5,0.8,315,300,299,63,3.71815538386528,3.79825610457129,4.02211941764384,11.5385309060804,0.183151284223499,99.7392158237091,99.8068386930354,99.9346633167665,99.8269059445037,315.000075144585,300.000070533023,299.000071843637,304.666739173749,0,0.001271913020468
26,0.4,0.5,0.8,315,300,299,63,3.71814724383812,3.79824796385972,4.02211457622466,11.5385097839225,0.183150948951151,99.7096666612225,99.783805048572,99.9254289916133,99.8063002338026,315.000078150297,300.000073354264,299.000074717222,304.666742073928,0,0.00132278833063113
27,0.4,0.5,0.8,315,300,299,63,3.71813910382586,3.79823982316307,4.02210973481433,11.5384886618033,0.183150613679417,99.6785272995235,99.7594017426896,99.9155710624547,99.7845000348893,315.000081156003,300.000076175501,299.000077590796,304.6667449741,0,0.00137366354766315
28,0.4,0.5,0.8,315,300,299,63,3.71813096382852,3.79823168248133,4.02210489341286,11.5384675397227,0.183150278408297,99.6458406596276,99.7336510452784,99.9050930088393,99.7615282379151,315.000084161703,300.000078996734,299.000080464356,304.666747874264,0,0.00142453867156421
29,0.4,0.5,0.8,315,300,299,63,3.71812282384609,3.79822354181451,4.02210005202024,11.5384464176808,0.183149943137791,99.6116550477525,99.7065803940614,99.8940004243422,99.7374119553854,315.000087167398,300.000081817963,299.000083337905,304.666750774422,0,0.0014754137023345
30,0.4,0.5,0.8,315,300,299,63,3.71811468387857,3.7982154011626,4.02209521063648,11.5384252956777,0.183149607867899,99.5760234644347,99.6782219526379,99.8823008824867,99.7121820998531,315.000090173087,300.000084639188,299.000086211441,304.666753674572,0,0.00152628863997417
